protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000002_000001_000002_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000002_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000003_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000003_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000004_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000004_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000005_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000005_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000006_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000006_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000007_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000007_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000008_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000008_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000009_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000009_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000010_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000010_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000011_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000011_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000012_1	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000002_000001_000012_2	OBELISK	32644	NA	NA	beta	Obelisk_000002_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000003_000001_000001_1	OBELISK	32644	NA	NA	Ssanguinis	Obelisk_000003_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Streptococcus sanguinis | notes=.	SRR11790914
Obelisk_000004_000001_000001_1	OBELISK	32644	NA	NA	gamma	Obelisk_000004_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=viral metagenome | notes=.	ERR3178735
Obelisk_000004_000001_000001_2	OBELISK	32644	NA	NA	gamma	Obelisk_000004_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=viral metagenome | notes=.	ERR3178735
Obelisk_000005_000001_000001_1	OBELISK	32644	NA	NA	delta	Obelisk_000005_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949244
Obelisk_000005_000001_000002_1	OBELISK	32644	NA	NA	delta	Obelisk_000005_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949418
Obelisk_000005_000001_000003_1	OBELISK	32644	NA	NA	delta	Obelisk_000005_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR5949419
Obelisk_000005_000001_000004_1	OBELISK	32644	NA	NA	delta	Obelisk_000005_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR10932003
Obelisk_000005_000001_000005_1	OBELISK	32644	NA	NA	delta	Obelisk_000005_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760326
Obelisk_000005_000001_000006_1	OBELISK	32644	NA	NA	delta	Obelisk_000005_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR6760327
Obelisk_000005_000001_000007_1	OBELISK	32644	NA	NA	delta	Obelisk_000005_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR8048121
Obelisk_000006_000001_000001_1	OBELISK	32644	NA	NA	epsilon	Obelisk_000006_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	PRJNA940499
Obelisk_000006_000001_000002_1	OBELISK	32644	NA	NA	epsilon	Obelisk_000006_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000006_000002_000001_1	OBELISK	32644	NA	NA	epsilon	Obelisk_000006_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	SRR11002569
Obelisk_000006_000003_000001_1	OBELISK	32644	NA	NA	epsilon	Obelisk_000006_000003_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=upper respiratory tract metagenome | notes=.	SRR10221878
Obelisk_000006_000003_000002_1	OBELISK	32644	NA	NA	epsilon	Obelisk_000006_000003_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	SRR11002547
Obelisk_000006_000004_000001_1	OBELISK	32644	NA	NA	epsilon	Obelisk_000006_000004_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	SRR11002575
Obelisk_000007_000001_000001_1	OBELISK	32644	NA	NA	zeta	Obelisk_000007_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR22709669
Obelisk_000008_000001_000001_1	OBELISK	32644	NA	NA	eta	Obelisk_000008_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human gut metagenome | notes=.	SRR22709819
Obelisk_000009_000001_000001_1	OBELISK	32644	NA	NA	theta	Obelisk_000009_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000010_000001_000001_1	OBELISK	32644	NA	NA	iota	Obelisk_000010_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000010_000001_000002_1	OBELISK	32644	NA	NA	iota	Obelisk_000010_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Homo sapiens | notes=.	SRR10173250
Obelisk_000010_000001_000003_1	OBELISK	32644	NA	NA	iota	Obelisk_000010_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	SRR11002570
Obelisk_000010_000001_000004_1	OBELISK	32644	NA	NA	iota	Obelisk_000010_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	SRR11002578
Obelisk_000011_000001_000001_1	OBELISK	32644	NA	NA	kappa	Obelisk_000011_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=viral metagenome | notes=.	ERR3180367
Obelisk_000011_000001_000001_2	OBELISK	32644	NA	NA	kappa	Obelisk_000011_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=viral metagenome | notes=.	ERR3180367
Obelisk_000011_000001_000002_1	OBELISK	32644	NA	NA	kappa	Obelisk_000011_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=viral metagenome | notes=.	ERR3180453
Obelisk_000011_000001_000002_2	OBELISK	32644	NA	NA	kappa	Obelisk_000011_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=viral metagenome | notes=.	ERR3180453
Obelisk_000011_000001_000003_1	OBELISK	32644	NA	NA	kappa	Obelisk_000011_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000011_000001_000003_2	OBELISK	32644	NA	NA	kappa	Obelisk_000011_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000012_000001_000001_1	OBELISK	32644	NA	NA	lambda	Obelisk_000012_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000012_000001_000001_2	OBELISK	32644	NA	NA	lambda	Obelisk_000012_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000013_000001_000001_1	OBELISK	32644	NA	NA	mu	Obelisk_000013_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000013_000001_000001_2	OBELISK	32644	NA	NA	mu	Obelisk_000013_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000014_000001_000001_1	OBELISK	32644	NA	NA	nu	Obelisk_000014_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=centroid and member manually swapped as member gave more intact Oblin-1 prediction via prodigal	SRR11002570
Obelisk_000014_000001_000002_1	OBELISK	32644	NA	NA	nu	Obelisk_000014_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000015_000001_000001_1	OBELISK	32644	NA	NA	xi	Obelisk_000015_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=human oral metagenome | notes=.	PRJNA678453
Obelisk_000016_000001_000001_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972809
Obelisk_000016_000001_000002_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972810
Obelisk_000016_000001_000003_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972811
Obelisk_000016_000002_000001_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352962
Obelisk_000016_000003_000001_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809083
Obelisk_000016_000003_000002_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815229
Obelisk_000016_000003_000003_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352906
Obelisk_000016_000003_000004_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352926
Obelisk_000016_000003_000005_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352930
Obelisk_000016_000003_000006_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352942
Obelisk_000016_000003_000007_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352946
Obelisk_000016_000003_000008_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352952
Obelisk_000016_000003_000009_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352960
Obelisk_000016_000003_000010_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352962
Obelisk_000016_000003_000011_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1356695
Obelisk_000016_000003_000012_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1356699
Obelisk_000016_000003_000013_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000013	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1356761
Obelisk_000016_000003_000014_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000014	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	ERR2088990
Obelisk_000016_000003_000015_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000015	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809040
Obelisk_000016_000003_000016_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000016	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809041
Obelisk_000016_000003_000017_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000017	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809042
Obelisk_000016_000003_000018_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000018	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809043
Obelisk_000016_000003_000019_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000019	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809045
Obelisk_000016_000003_000020_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000020	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809048
Obelisk_000016_000003_000021_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000021	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809049
Obelisk_000016_000003_000022_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000022	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809051
Obelisk_000016_000003_000023_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000023	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809052
Obelisk_000016_000003_000024_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000024	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809053
Obelisk_000016_000003_000025_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000025	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809055
Obelisk_000016_000003_000026_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000026	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809057
Obelisk_000016_000003_000027_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000027	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809061
Obelisk_000016_000003_000028_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000028	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809062
Obelisk_000016_000003_000029_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000029	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809063
Obelisk_000016_000003_000030_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000030	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809064
Obelisk_000016_000003_000031_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000031	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809065
Obelisk_000016_000003_000032_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000032	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809076
Obelisk_000016_000003_000033_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000033	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809078
Obelisk_000016_000003_000034_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000034	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809082
Obelisk_000016_000003_000035_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000035	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809086
Obelisk_000016_000003_000036_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000036	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809089
Obelisk_000016_000003_000037_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000037	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809090
Obelisk_000016_000003_000038_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000038	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809097
Obelisk_000016_000003_000039_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000039	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809101
Obelisk_000016_000003_000040_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000040	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809102
Obelisk_000016_000003_000041_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000041	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809105
Obelisk_000016_000003_000042_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000042	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809106
Obelisk_000016_000003_000043_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000043	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809109
Obelisk_000016_000003_000044_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000044	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809110
Obelisk_000016_000003_000045_1	OBELISK	32644	NA	NA	omicron	Obelisk_000016_000003_000045	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2809112
